

1,9,1390
2,8,766
3,6,776
4,8,624
5,6,660
6,10,610
7,6,564
8,7,610
9,10,690
10,5,347
11,7,330
12,5,332
13,7,461
14,8,465
15,3,336
16,8,341
17,6,453
18,10,354
19,6,339
20,10,328
21,6,334
22,12,324
23,9,340
24,11,376
25,9,393
26,9,351
27,7,380
28,9,406
29,7,323
30,11,348
31,6,362
32,7,487
33,10,424
34,5,332
35,7,342
36,11,345
37,9,335
38,9,332
39,7,345
40,9,337
41,12,355
42,5,337
43,10,349
44,8,329
45,10,335
46,8,399
47,5,326
48,5,543
49,7,328
50,8,328
51,3,334
52,9,338
53,7,379
54,11,611
55,6,439
56,8,549
57,10,535
58,8,548
59,5,461
60,7,570
61,10,313
62,11,325
63,3,315
64,7,273
65,10,255
66,11,260
67,9,318
68,5,341
69,7,316
70,9,329
71,7,314
72,9,323
73,12,403
74,8,306
75,10,318
76,5,267
77,10,325
78,8,321
79,5,322
80,5,395
81,7,272
82,9,260
83,7,263
84,8,321
85,3,262
86,11,267
87,6,307
88,8,261
89,10,285
90,7,259
91,10,263
92,8,270
93,5,263
94,11,267
95,3,262
96,9,261
97,12,306
98,8,266
99,10,257
100,8,258
101,10,276
102,7,268
103,10,269
104,12,294
105,12,277
106,9,295
107,14,272
108,9,279
109,14,318
110,10,266
111,9,259
112,5,280
113,10,279
114,8,264
115,5,266
116,7,268
117,5,262
118,11,265
119,3,272
120,9,270
121,14,283
122,10,280
123,9,268
124,10,280
125,9,266
126,13,261
127,5,289
128,6,265
129,10,259
130,9,341
131,8,261
132,9,279
133,8,267
134,12,287
135,9,264
136,4,266
137,10,268
138,6,268
139,7,260
140,6,298
141,8,303
142,10,266
143,4,276
144,9,274
145,8,294
146,12,261
147,9,320
148,12,320
149,9,394
150,12,308
151,13,324
152,9,266
153,7,284
154,10,264
155,10,263
156,10,263
157,10,282
158,14,265
159,9,262
160,4,282
161,10,317
162,6,429
163,8,413
164,9,285
165,7,273
166,10,275
167,10,304
168,7,268
169,11,275
170,2,260
171,7,288
172,9,270
173,11,292
174,6,290
175,4,272
176,6,259
177,8,269
178,10,266
179,4,264
180,10,289
181,10,279
182,14,274
183,9,489
184,6,462
185,11,454
186,6,305
187,4,279
188,11,282
189,13,339
190,10,309
191,6,303
192,4,267
193,10,263
194,9,299
195,7,258
196,6,316
197,8,289
198,10,267
199,10,263
200,7,289
201,11,276
202,9,265
203,11,263
204,2,275
205,7,262
206,6,278
207,4,333
208,6,320
209,8,340
210,10,332
211,10,269
212,10,278
213,4,276
214,14,294
215,9,276
216,9,264
217,11,285
218,11,264
